temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,rain_sum,showers_sum,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,status
32.326,24.675999,36.328983,29.409542,45936.473,40528.312,0.0,0.0,0.0,0.0,16.923828,39.6,248.52313,Clear sky
32.226,25.175999,36.224922,30.586563,45934.34,38184.824,0.0,0.0,0.0,0.0,12.599999,28.44,251.01666,Clear sky
30.376,25.026,35.959663,30.527172,45931.453,22698.441,0.0,7.8000007,7.8000007,12.0,12.245293,29.88,234.2136,Thunderstorm
30.675999,25.476,36.19371,31.261013,45927.805,20866.154,0.2,15.799999,16.0,16.0,12.413477,33.839996,242.95529,Thunderstorm
31.376,25.075998,37.25126,31.047249,45923.414,36000.0,0.0,4.7,4.7,8.0,13.276144,33.839996,224.52457,Thunderstorm
31.226,24.425999,36.172813,29.818432,45918.28,34127.77,0.0,6.9999995,6.9999995,11.0,16.394829,42.48,230.70325,Thunderstorm
31.726,24.726,36.050114,30.241985,45912.41,41194.16,0.0,3.5,3.5,6.0,16.923828,42.48,248.02872,Thunderstorm
32.726,24.925999,37.470398,30.327667,45905.816,40665.207,0.0,0.8,0.70000005,4.0,15.542662,38.519997,273.56906,Rain showers
